观测序号_Nobs,代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...9
8088,600000,浦发银行,2020-07-14,15:20:00,11.69,11.33,11.38,NA
8089,600000,浦发银行,2020-07-14,15:25:00,11.69,11.33,11.38,NA
8090,600000,浦发银行,2020-07-14,15:30:00,11.69,11.33,11.38,NA
8091,600000,浦发银行,2020-07-15,09:30:00,11.47,11.47,11.47,NA
8092,600000,浦发银行,2020-07-15,09:35:00,11.47,11.36,11.4,NA
8093,600000,浦发银行,2020-07-15,09:40:00,11.47,11.36,11.4,NA
8094,600000,浦发银行,2020-07-15,09:45:00,11.47,11.36,11.39,NA
8095,600000,浦发银行,2020-07-15,09:50:00,11.47,11.36,11.37,NA
8096,600000,浦发银行,2020-07-15,09:55:00,11.47,11.36,11.4,NA
8097,600000,浦发银行,2020-07-15,10:00:00,11.47,11.36,11.4,NA
8098,600000,浦发银行,2020-07-15,10:05:00,11.47,11.36,11.38,NA
8099,600000,浦发银行,2020-07-15,10:10:00,11.47,11.32,11.34,NA
8100,600000,浦发银行,2020-07-15,10:15:00,11.47,11.32,11.33,NA
8101,600000,浦发银行,2020-07-15,10:20:00,11.47,11.31,11.32,NA
8102,600000,浦发银行,2020-07-15,10:25:00,11.47,11.31,11.33,NA
8103,600000,浦发银行,2020-07-15,10:30:00,11.47,11.31,11.32,NA
8104,600000,浦发银行,2020-07-15,10:35:00,11.47,11.29,11.3,NA
8105,600000,浦发银行,2020-07-15,10:40:00,11.47,11.26,11.28,NA
8106,600000,浦发银行,2020-07-15,10:45:00,11.47,11.24,11.25,NA
8107,600000,浦发银行,2020-07-15,10:50:00,11.47,11.23,11.26,NA
8108,600000,浦发银行,2020-07-15,10:55:00,11.47,11.23,11.24,NA
8109,600000,浦发银行,2020-07-15,11:00:00,11.47,11.23,11.23,NA
8110,600000,浦发银行,2020-07-15,11:05:00,11.47,11.2,11.22,NA
8111,600000,浦发银行,2020-07-15,11:10:00,11.47,11.2,11.22,NA
8112,600000,浦发银行,2020-07-15,11:15:00,11.47,11.17,11.18,NA
8113,600000,浦发银行,2020-07-15,11:20:00,11.47,11.14,11.18,NA
8114,600000,浦发银行,2020-07-15,11:25:00,11.47,11.14,11.19,NA
8115,600000,浦发银行,2020-07-15,11:30:00,11.47,11.14,11.23,NA
8116,600000,浦发银行,2020-07-15,11:35:00,11.47,11.14,11.23,NA
